Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.093138,0.10164200000000001,0.1085015,0.116813,0.1277755,0.1389695,0.1479735
450,0.0613365,0.06560650000000001,0.07042699999999999,0.0780065,0.08691299999999999,0.09647649999999999,0.1063195
500,0.213017,0.221139,0.22706199999999999,0.2352505,0.2446625,0.25586699999999996,0.27087700000000003
550,0.6168895000000001,0.6462209999999999,0.662544,0.676669,0.689886,0.703252,0.719138
600,0.6774644999999999,0.712343,0.730923,0.746452,0.7609775000000001,0.7746895,0.7902635
650,0.6906625,0.726669,0.7463150000000001,0.762346,0.776842,0.7910165,0.80655
700,0.6989945,0.732396,0.7525445,0.784383,0.799979,0.7962419999999999,0.817339
750,0.7051395366695683,0.7390464999999999,0.7597325,0.7925905,0.808017,0.805391,0.8257359146409446
800,0.708472380849135,0.742117,0.7629630000000001,0.7949455,0.811028,0.809293,0.8299029818235164
850,0.7120234674865324,0.743243,0.7645265,0.7977335,0.8136425,0.8112809999999999,0.8344209202009829
900,0.7139098959460897,0.7452515,0.7664585,0.799694,0.8157755,0.8137705,0.8381511402039169
950,0.7181037022836927,0.7498184999999999,0.77147,0.803903,0.8200775,0.8185505,0.8437956833125504
1000,0.7216450204804208,0.7478665,0.7718940000000001,0.8051790000000001,0.822666,0.82096,0.8492000199955989
1050,0.7248776740533878,0.7498454999999999,0.7734255,0.8076490000000001,0.8245834999999999,0.8245484999999999,0.8533118970659429
1100,0.7224193460458469,0.7465474999999999,0.769628,0.804772,0.821608,0.8207679999999999,0.8502558605075918
1150,0.7173865568156628,0.7398475,0.7637324999999999,0.797786,0.8141525000000001,0.8158865,0.8460861257390156
1200,0.7157925324666079,0.7373325,0.761669,0.7960834999999999,0.8126070000000001,0.814245,0.8462893725739016
1250,0.7316888355789974,0.7506634999999999,0.775429,0.8102765,0.8279019999999999,0.8296224999999999,0.8652379924741436
1300,0.7346430809529474,0.7524200000000001,0.7777480000000001,0.8125175,0.830495,0.833051,0.8698493570013937
1350,0.7226560926471621,0.7396875,0.7646265,0.7983115000000001,0.8161175,0.820632,0.858975489356708
1400,0.6995645339183595,0.71273,0.736844,0.772276,0.789677,0.7948185,0.837266905141935
1450,0.7056619446144613,0.717306,0.743131,0.778068,0.7972950000000001,0.8035915,0.8503422495268833
1500,0.7257285516223391,0.734765,0.761281,0.7975795,0.8181054999999999,0.8261054999999999,0.8785285544414287
