Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.326666,0.341754,0.348963,0.357013,0.368512,0.3838625,0.4063095
450,0.4002115,0.413809,0.42002,0.4271085,0.43588950000000004,0.4476515,0.466048
500,0.308172,0.3162925,0.319923,0.32474000000000003,0.33104100000000003,0.3396355,0.35404199999999997
550,0.2088985,0.2128445,0.2146535,0.21800150000000001,0.223098,0.23027599999999998,0.241755
600,0.19162600000000002,0.1948745,0.19677299999999998,0.1999185,0.204757,0.21115050000000002,0.22131
650,0.355304,0.3663715,0.371479,0.3764195,0.3822675,0.38890250000000004,0.3992985
700,0.3750115,0.3895445,0.3934185,0.3987565,0.4047455,0.4110485,0.420601
750,0.568071,0.594704,0.603437,0.612125,0.6208665,0.628998,0.6395005
800,0.7862355000000001,0.8272455000000001,0.8427899999999999,0.856301,0.8682125,0.878636,0.8908290000000001
850,0.8239380000000001,0.8682605,0.884838,0.8990865,0.9116725000000001,0.9224749999999999,0.9348175000000001
900,0.827877,0.8728335,0.8894775,0.904229,0.9167529999999999,0.9275225,0.9403334999999999
950,0.832334,0.8776565000000001,0.8950265,0.910176,0.9223425000000001,0.933678,0.946774
1000,0.8300485,0.8708655000000001,0.8893234999999999,0.9057305,0.919049,0.9308529999999999,0.943856
1050,0.8289675,0.87041,0.8892145,0.905524,0.919046,0.9310105,0.9446034999999999
1100,0.8218749999999999,0.8634065,0.883005,0.898191,0.912613,0.923921,0.938033
1150,0.8129705,0.8541475000000001,0.8734705,0.8892504999999999,0.9031279999999999,0.9146685,0.929218
1200,0.8057084999999999,0.8467499999999999,0.86662,0.8828885,0.896168,0.908786,0.923239
1250,0.8185515000000001,0.861109,0.8814305,0.898027,0.9114735,0.924511,0.939514
1300,0.8176110000000001,0.8603940000000001,0.881132,0.8978820000000001,0.911383,0.924638,0.940178
1350,0.8044985,0.8457275,0.8660675,0.882795,0.8958515,0.9094365,0.9257759999999999
1400,0.7742905,0.814835,0.8340179999999999,0.849902,0.8632175,0.8768305000000001,0.8939604999999999
1450,0.771334,0.812796,0.833564,0.850106,0.865199,0.8792975000000001,0.897633
1500,0.7874545,0.8303775,0.8519369999999999,0.8695189999999999,0.885368,0.9014435000000001,0.9222254999999999
