Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.1507615,0.159761,0.1653685,0.1722565,0.185032,0.199733,0.2199095
450,0.1212945,0.12436749999999999,0.1274035,0.1325665,0.1405075,0.1519775,0.169371
500,0.10122049999999999,0.10270399999999999,0.10521,0.1096645,0.1160835,0.12514750000000002,0.13871050000000001
550,0.08864949999999999,0.090071,0.092258,0.09662599999999999,0.1026495,0.110567,0.12187400000000001
600,0.39300599999999997,0.40719950000000005,0.414294,0.42104549999999996,0.42889849999999996,0.43788249999999995,0.4532115
650,0.550188,0.5734565,0.5851204999999999,0.5943039999999999,0.6034625,0.6136280000000001,0.6280950000000001
700,0.557107,0.5771335,0.5809225,0.6008305,0.598734,0.608339,0.6160955
750,0.5506880000000001,0.570851,0.574751,0.5939585000000001,0.593851,0.6029395,0.6099425
800,0.5443564999999999,0.5641995,0.569573,0.5882505,0.5882025,0.5976245,0.6041445000000001
850,0.539985,0.5597245,0.5648150000000001,0.5838355,0.5840585,0.593368,0.6017795
900,0.5344335,0.5553565,0.5605515000000001,0.579415,0.579674,0.5892535,0.5985695
950,0.5316540000000001,0.5526409999999999,0.558364,0.577229,0.5777265,0.5877235000000001,0.596777
1000,0.528833,0.5468565,0.5537030000000001,0.5740425,0.5750645,0.58596,0.59625
1050,0.5255345,0.544741,0.5528854999999999,0.5726705,0.574804,0.585333,0.5957545
1100,0.5206895,0.541102,0.5484675,0.569256,0.57168,0.5826899999999999,0.59354
1150,0.517503,0.5381765000000001,0.5465690000000001,0.566778,0.5694185,0.5809255,0.5928329999999999
1200,0.5149185,0.53531,0.5451064999999999,0.5655479999999999,0.5684579999999999,0.5795555,0.593105
1250,0.5197825,0.5397905000000001,0.550289,0.572315,0.5748979999999999,0.5869709999999999,0.6015835
1300,0.5199855,0.5408405000000001,0.5518765,0.57395,0.5770299999999999,0.5897325,0.6051035
1350,0.513853,0.5357835,0.5471175,0.569727,0.5734935,0.5865745,0.6013695
1400,0.5055725,0.5263215,0.53782,0.5604979999999999,0.564316,0.5770900000000001,0.594379
1450,0.504319,0.5278510000000001,0.5401199999999999,0.5633405,0.566937,0.580083,0.5973094999999999
1500,0.5128455,0.5367040000000001,0.549401,0.5742915,0.577762,0.5923125,0.6102495
