Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.152033,0.169826,0.183989,0.197655,0.213285,0.2293905,0.24928
450,0.113959,0.1251675,0.136251,0.14892850000000002,0.1624645,0.176817,0.19342700000000002
500,0.056462,0.060766,0.066972,0.075197,0.0849465,0.094778,0.1052255
550,0.0398315,0.0414925,0.0456655,0.051880499999999996,0.0594975,0.067308,0.0746845
600,0.0517725,0.054846,0.060261999999999996,0.06751399999999999,0.076087,0.084988,0.09353500000000001
650,0.12918649999999998,0.142487,0.155392,0.169485,0.18364550000000002,0.197323,0.21204
700,0.3104255,0.336072,0.3604655,0.3751735,0.393443,0.41496049999999995,0.4423125
750,0.4080555,0.438305,0.46467250000000004,0.480538,0.499643,0.5228435,0.5541780000000001
800,0.4288415,0.460531,0.485936,0.503085,0.5231785,0.5468415,0.5805345
850,0.44244249999999996,0.47541900000000004,0.5020445,0.5177915,0.538149,0.563528,0.599503
900,0.4561555,0.48865400000000003,0.5169235000000001,0.532169,0.5530105000000001,0.5790985,0.617432
950,0.47014999999999996,0.504413,0.532573,0.5479719999999999,0.5691865,0.5958345,0.6363335
1000,0.4829465,0.513571,0.5442629999999999,0.559244,0.581654,0.609973,0.6534465
1050,0.49234,0.52469,0.5542185,0.5701785,0.593407,0.6230235,0.669296
1100,0.49782499999999996,0.530602,0.560821,0.5756155000000001,0.5995524999999999,0.6321114999999999,0.682387
1150,0.499201,0.5318895,0.5626425,0.5785185,0.603835,0.6392915,0.6957815
1200,0.5025185000000001,0.5360745,0.5663659999999999,0.582959,0.6108165,0.6505034999999999,0.715268
1250,0.512791,0.5470219999999999,0.5803065000000001,0.596257,0.6273485,0.6727235,0.7505895
1300,0.515814,0.5507005,0.5845395,0.602105,0.6367240000000001,0.6902444999999999,0.782448
1350,0.5110565,0.5453615,0.5787325,0.5990365,0.6379825,0.7001835000000001,0.811185
1400,0.4965855,0.5313325,0.5666585,0.587405,0.6311709999999999,0.7049985000000001,0.8359894999999999
1450,0.49836900000000006,0.533149,0.570252,0.593238,0.6423495,0.7291780000000001,0.8846845
1500,0.505779,0.541798,0.581352,0.6062350000000001,0.662242,0.762338,0.944419
