Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.353193,0.3748345,0.3932045,0.406964,0.429489,0.4583005,0.4945465
450,0.5340395,0.5632735,0.58129,0.5981335,0.617837,0.642556,0.6767799999999999
500,0.5363964999999999,0.5648035,0.582005,0.5988055,0.616064,0.6376580000000001,0.667508
550,0.539094,0.568416,0.584973,0.6004400000000001,0.617605,0.6375925,0.6650725
600,0.534768,0.5621145000000001,0.57881,0.5945020000000001,0.6113795,0.6306529999999999,0.6563464999999999
650,0.523821,0.551493,0.568488,0.5837415,0.6002165,0.6188425,0.6434895
700,0.526116,0.5417145,0.557965,0.5766325,0.589348,0.6076284999999999,0.6313534999999999
750,0.515968,0.532149,0.54773,0.5658974999999999,0.579283,0.5976585,0.620865
800,0.5062040000000001,0.5236685,0.539111,0.5566575,0.570847,0.5891645,0.6123925
850,0.4988245,0.5147705,0.5307435,0.5485795,0.562575,0.5815625,0.6045115
900,0.49207975000000004,0.50772,0.5235895,0.541432,0.5556840000000001,0.574881,0.5979365
950,0.48469,0.502105,0.5183025,0.5358705,0.5507519999999999,0.5699190000000001,0.593352
1000,0.48003399999999996,0.4956845,0.5113975,0.5310075000000001,0.5465765,0.5675565,0.5913889999999999
1050,0.475277,0.49113,0.5079945,0.527692,0.5439235,0.564648,0.5897525
1100,0.467627,0.48471600000000004,0.5006390000000001,0.5205225,0.538508,0.5592215,0.585295
1150,0.46408499999999997,0.4802165,0.49898699999999996,0.5179865,0.535903,0.557851,0.5826745
1200,0.45917949999999996,0.4761795,0.49519599999999997,0.5151535,0.533635,0.55565,0.5813035
1250,0.459969,0.4787085,0.496798,0.5169170000000001,0.5363015,0.5590919999999999,0.585656
1300,0.457992,0.4765655,0.49552399999999996,0.516665,0.5360495000000001,0.5592575,0.5861185
1350,0.4502265,0.469404,0.4892065,0.5096134999999999,0.529803,0.5533085,0.5803445
1400,0.4403045,0.4593245,0.478319,0.499695,0.5195514999999999,0.543934,0.5712625
1450,0.4420035,0.4612575,0.4815975,0.502578,0.5239005,0.5476570000000001,0.575711
1500,0.4470465,0.46842,0.4889525,0.5108745,0.5321065,0.5568005,0.5862225
