Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.073691,0.077627,0.0829265,0.08847150000000001,0.1000055,0.11239350000000001,0.12724950000000002
450,0.08276349999999999,0.08551,0.088878,0.094845,0.10370650000000001,0.11502200000000001,0.129665
500,0.0810705,0.0830285,0.086295,0.091863,0.0998965,0.109856,0.12336549999999999
550,0.08099100000000001,0.0829425,0.086233,0.09178900000000001,0.0996795,0.109235,0.121793
600,0.079395,0.081383,0.0848145,0.0904765,0.0983755,0.107858,0.11988750000000001
650,0.074603,0.0770705,0.080457,0.08644199999999999,0.09460750000000001,0.104024,0.115681
700,0.0721665,0.0743675,0.0774875,0.083642,0.09152900000000001,0.100667,0.1128525
750,0.0688245,0.07105577841337941,0.0748905,0.0812325,0.08933145845295186,0.09861918042155339,0.110669
800,0.06585099999999999,0.0684983769978416,0.0726125,0.079236,0.08736242991023936,0.09720603159076166,0.1090385
850,0.0635895,0.06635309437029092,0.0706335,0.077798,0.0862462882338161,0.09663167321375249,0.108138
900,0.0614715,0.06466375200280725,0.0691055,0.076648,0.08543548299145164,0.09613297778452795,0.107233
950,0.0597585,0.06319597887617685,0.067958,0.07573350000000001,0.0849324607891881,0.09587702295169745,0.107113
1000,0.059622999999999995,0.061904968766138324,0.0667735,0.0751115,0.08479055763874412,0.09635428368874657,0.10703750000000001
1050,0.056872500000000006,0.06088919689084866,0.06599,0.0744295,0.08438539967816609,0.09619690877498276,0.1072495
1100,0.055409,0.05829782152504668,0.06510099999999999,0.073618,0.08408887102585899,0.0962518972733919,0.10727
1150,0.05403,0.05830176053377296,0.0647585,0.073672,0.08404630008072579,0.09618537930537394,0.1076345
1200,0.053170999999999996,0.05776359346654484,0.064242,0.0733565,0.0840267272323887,0.09675906658978345,0.10827600000000001
1250,0.0515995,0.056647376868735014,0.063588,0.0724645,0.08376836563433894,0.09703349422346241,0.10882449999999999
1300,0.051053,0.0556764112177068,0.062942,0.0722965,0.08350266421816278,0.09691952142261397,0.1084395
1350,0.049689,0.05437555358585257,0.061555,0.071406,0.082781894078149,0.09641166783364395,0.107898
1400,0.048722,0.0534459475264503,0.0605495,0.070659,0.08231459232410067,0.09644715801044101,0.1077565
1450,0.04778,0.05306337130391028,0.060613,0.0706985,0.08287192918049965,0.09724737081561416,0.10859350000000001
1500,0.046662499999999996,0.05229280272183159,0.0600315,0.070521,0.08307940137287295,0.09782108445998126,0.1090905
