Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.08588799999999999,0.0906065,0.09024650000000001,0.09224450000000001,0.093599,0.095238,0.099014
450,0.057384000000000004,0.057412000000000005,0.05584,0.0557845,0.0565085,0.0582195,0.061547000000000004
500,0.0638825,0.062473,0.0610045,0.060523,0.0614335,0.063549,0.06824749999999999
550,0.059547,0.058313500000000004,0.056931,0.056579,0.057383500000000004,0.059256500000000004,0.0630745
600,0.232017,0.23465999999999998,0.233802,0.233176,0.23340699999999998,0.236176,0.2438385
650,0.6025579999999999,0.6244419999999999,0.63274,0.638356,0.6433435000000001,0.6485075,0.657457
700,0.6710255,0.713009,0.71282,0.708168,0.6864905,0.7418255,0.7472845
750,0.6840824999999999,0.7265925,0.7269125000000001,0.7230575,0.70143,0.7576689999999999,0.7629155
800,0.6881295000000001,0.730024,0.731372,0.7283865,0.7075965,0.7624744999999999,0.7676995
850,0.6883595,0.7313864999999999,0.7328494999999999,0.731182,0.710683,0.7647245,0.769552
900,0.6878465,0.732661,0.7343230000000001,0.733822,0.713857,0.766607,0.7713049999999999
950,0.69226,0.7373025,0.739297,0.7394585,0.7194974999999999,0.7716445000000001,0.7761899999999999
1000,0.6957745,0.737309,0.740548,0.7432265,0.726081,0.776239,0.7799165
1050,0.6991975,0.741832,0.7458225,0.7482694999999999,0.730811,0.7817624999999999,0.7861235
1100,0.6987465,0.7407325,0.74596,0.749396,0.7321314999999999,0.782347,0.7867485000000001
1150,0.6922555,0.736201,0.7410445000000001,0.744317,0.7281565,0.7772075,0.7823485
1200,0.6918095,0.7355160000000001,0.740218,0.7453135,0.7299070000000001,0.7773909999999999,0.781724
1250,0.703741,0.7493315,0.7546375,0.7615645,0.747219,0.79349,0.797998
1300,0.705944,0.7513894999999999,0.757295,0.7650025,0.7509365,0.7972174999999999,0.8023955
1350,0.693195,0.7377830000000001,0.7437115,0.751973,0.739594,0.783801,0.7896179999999999
1400,0.6673994999999999,0.7120645,0.7182075,0.727665,0.7180504999999999,0.7594525000000001,0.7657995
1450,0.6722895,0.717919,0.724255,0.735269,0.7266305,0.7690334999999999,0.777889
1500,0.688837,0.7361875,0.743012,0.7564649999999999,0.7489954999999999,0.792276,0.802658
