Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.080516,0.087367,0.09471850000000001,0.10227349999999999,0.1106135,0.1194825,0.1316815
450,0.0681885,0.07029550000000001,0.073888,0.079674,0.087449,0.09588150000000001,0.10571749999999999
500,0.200095,0.20503,0.2083815,0.2135455,0.220142,0.2279215,0.23806650000000001
550,0.3005105,0.3100965,0.3157995,0.322558,0.329268,0.3367105,0.346119
600,0.113337,0.1150775,0.117569,0.1220135,0.12780599999999998,0.1347465,0.14312049999999998
650,0.082793,0.08393,0.086583,0.09140400000000001,0.0973305,0.1043665,0.11222
700,0.11163100000000001,0.1117895,0.114371,0.1187925,0.125369,0.1320865,0.1396215
750,0.128527,0.129706,0.13257449999999998,0.13740249999999998,0.1442815,0.15118665098372164,0.15887800000000002
800,0.1802585,0.18371700000000002,0.18810100000000002,0.19385249999999998,0.20168799999999998,0.20931432477127543,0.216897
850,0.512472,0.5298335000000001,0.542783,0.5539970000000001,0.5680105,0.5789955352684892,0.5856645
900,0.723288,0.7509589999999999,0.7693859999999999,0.7841775,0.800416,0.8143219927647344,0.820138
950,0.777127,0.8083255,0.8281395,0.843395,0.859997,0.8747562503872535,0.8799535
1000,0.799191,0.8289850000000001,0.8495885000000001,0.8666925,0.8842955,0.9024399182650265,0.905179
1050,0.8012835,0.8295695000000001,0.851366,0.8681464999999999,0.886061,0.9047128331241839,0.907708
1100,0.791203,0.817909,0.8401514999999999,0.8555090000000001,0.873062,0.8939693219359924,0.8965989999999999
1150,0.778831,0.808388,0.8299375,0.846661,0.8638975,0.8837961113995632,0.8868475
1200,0.7854844999999999,0.8160354999999999,0.8376574999999999,0.8548485,0.872879,0.894681032286148,0.8968320000000001
1250,0.7997915,0.8313695,0.8542369999999999,0.8712679999999999,0.8895695,0.9151139567276207,0.91547
1300,0.7995785,0.8315250000000001,0.854897,0.8721565,0.890515,0.9177701799267455,0.9193475
1350,0.7801075,0.8124095,0.8353355,0.8526785,0.870649,0.8998650185920841,0.903173
1400,0.7489285,0.7796505,0.802368,0.8190255,0.8382455,0.8713618996415702,0.8750495
1450,0.752763,0.7847105,0.8074304999999999,0.8257939999999999,0.8466755,0.8832765732036346,0.890976
1500,0.768492,0.802047,0.8255565,0.845351,0.867313,0.9105686449935492,0.921023
