Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.08859500000000001,0.0989495,0.106243,0.1151835,0.12668649999999998,0.138888,0.1520005
450,0.058330999999999994,0.06268599999999999,0.0680875,0.076121,0.08665600000000001,0.0980525,0.109689
500,0.1045475,0.10945250000000001,0.114716,0.1226795,0.133233,0.14583049999999997,0.1610705
550,0.39136,0.41036649999999997,0.42106,0.4315455,0.4434225,0.45633,0.472939
600,0.570732,0.6012725,0.6177605,0.6320859999999999,0.646571,0.660783,0.6781015
650,0.6036045,0.6369745,0.654865,0.670142,0.6851055,0.7001215000000001,0.7174165
700,0.6255535000000001,0.660368,0.6942275,0.695105,0.710831,0.72744,0.7430625
750,0.635977,0.671639,0.7059195,0.7081695,0.724152,0.741296,0.7573639999999999
800,0.6286625,0.664355,0.6980585,0.7011080000000001,0.716981,0.734124,0.7501534999999999
850,0.622605,0.659135,0.6933105,0.696036,0.7122269999999999,0.7299575,0.74595
900,0.6267594999999999,0.6638599999999999,0.6985385,0.7017775,0.7179395,0.7356754999999999,0.752356
950,0.6391215,0.6784285,0.713328,0.7173635,0.7340139999999999,0.7522265,0.7691625
1000,0.647383,0.6837125,0.7205765,0.7250110000000001,0.7428755,0.7618425,0.7787645
1050,0.6508245,0.6880625,0.724992,0.7306379999999999,0.748768,0.7681605,0.7856195
1100,0.6485879999999999,0.6865085,0.7240074999999999,0.7294715,0.7480385,0.7674285,0.784962
1150,0.643543,0.6822710000000001,0.7190485,0.7253415,0.7441475,0.7643355000000001,0.782277
1200,0.64124,0.6800805000000001,0.7170855,0.7242815,0.7431085,0.7634555000000001,0.7820395
1250,0.6512875,0.691581,0.7298685,0.737023,0.756667,0.7767685,0.79664
1300,0.6525875000000001,0.693675,0.7319610000000001,0.739815,0.7593535,0.780457,0.80013
1350,0.6435495,0.68526,0.723195,0.7324539999999999,0.752747,0.7747470000000001,0.795532
1400,0.624844,0.6659045,0.7045954999999999,0.713841,0.7344660000000001,0.757698,0.779097
1450,0.626437,0.668072,0.7066675,0.715788,0.736702,0.759555,0.7816135
1500,0.639561,0.682778,0.7227105,0.731686,0.753358,0.777146,0.800584
