Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.3062195,0.3187255,0.32222850000000003,0.32894999999999996,0.3403795,0.354334,0.373884
450,0.299302,0.3070385,0.30983950000000005,0.315011,0.32209200000000004,0.3324435,0.3480065
500,0.164617,0.1663245,0.1674755,0.1704235,0.17535299999999998,0.18250650000000002,0.19413350000000001
550,0.1009845,0.1010315,0.1018945,0.10455600000000001,0.10905999999999999,0.115189,0.124003
600,0.3390075,0.34848199999999996,0.35156149999999997,0.355703,0.36068,0.366739,0.37583
650,0.628146,0.6536755000000001,0.665862,0.675441,0.684062,0.6924505000000001,0.70257
700,0.7199765,0.7525109999999999,0.7710954999999999,0.778043,0.788009,0.8077300000000001,0.8072325
750,0.739908,0.772551,0.793486,0.800827,0.8115965,0.83058,0.830953
800,0.7439560000000001,0.776651,0.7971915,0.8055615,0.8159765,0.8342005,0.835753
850,0.7423175,0.776924,0.7983975,0.8062605,0.8167735,0.8366675,0.836519
900,0.7416695,0.7767395,0.7978540000000001,0.8059635,0.816408,0.8366645,0.8362375
950,0.7436785,0.7794665000000001,0.8008005,0.808811,0.8189115,0.838777,0.8395765
1000,0.7442645,0.7746789999999999,0.797401,0.8082039999999999,0.8192685,0.840973,0.8405130000000001
1050,0.746618,0.7795115,0.8020765000000001,0.8127964999999999,0.824238,0.845855,0.8469065
1100,0.744489,0.7778959999999999,0.800913,0.811091,0.8233405,0.8445445,0.8451225
1150,0.739838,0.772382,0.7952695,0.8069554999999999,0.8171795,0.8394729999999999,0.8416055
1200,0.7350275,0.7694955,0.792663,0.8035380000000001,0.815404,0.837872,0.8396144999999999
1250,0.7475609999999999,0.7833195,0.8068355,0.81831,0.830935,0.854522,0.8563045
1300,0.748829,0.7850095,0.8088645,0.8206795,0.8332660000000001,0.857409,0.86022
1350,0.7347360000000001,0.7711650000000001,0.794168,0.8067150000000001,0.8189919999999999,0.842814,0.8476805
1400,0.707823,0.7429349999999999,0.766373,0.778721,0.7919005,0.8186370000000001,0.822623
1450,0.7102525,0.746416,0.7707215000000001,0.7836704999999999,0.797626,0.825456,0.8326165
1500,0.7264395,0.763946,0.7882579999999999,0.802541,0.817952,0.8490555,0.858833
