Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.1620025,0.1874535,0.2077235,0.22720800000000002,0.246801,0.266469,0.2912155
450,0.258837,0.287234,0.3104225,0.3324585,0.354839,0.379257,0.4086565
500,0.103397,0.1192745,0.1349485,0.1515,0.16873349999999998,0.1868255,0.20645249999999998
550,0.029981,0.0325205,0.0379095,0.045834,0.05529,0.064947,0.073662
600,0.028318,0.0303865,0.035352499999999995,0.042876,0.051976,0.0612215,0.0693405
650,0.0312765,0.0342765,0.0400845,0.0483465,0.0581935,0.0682185,0.07695450000000001
700,0.050303,0.0590585,0.06692400000000001,0.07708999999999999,0.09078149999999999,0.10279550000000001,0.115425
750,0.166434,0.193515,0.20756049999999998,0.2231245,0.2458635,0.263979,0.286885
800,0.325065,0.3652225,0.3808865,0.396637,0.42480399999999996,0.4465645,0.476312
850,0.38438300000000003,0.429271,0.4428825,0.458065,0.48765349999999996,0.510316,0.5432669999999999
900,0.4140855,0.45932700000000004,0.4731215,0.488307,0.517763,0.5409280000000001,0.575461
950,0.437573,0.4842,0.497737,0.512521,0.5422585,0.5659255,0.6019924999999999
1000,0.4566135,0.502434,0.5149520000000001,0.5317879999999999,0.561469,0.5870575,0.6246915
1050,0.469928,0.515957,0.5291395,0.5450415,0.5762054999999999,0.602985,0.643945
1100,0.474484,0.5196164999999999,0.532579,0.548233,0.5796135,0.6092949999999999,0.6556789999999999
1150,0.4776405,0.521644,0.5365534999999999,0.5534844999999999,0.586638,0.6198805000000001,0.6724144999999999
1200,0.4807005,0.526591,0.5404145,0.559153,0.5932759999999999,0.6328320000000001,0.6940675000000001
1250,0.48872099999999996,0.5356525,0.5500915,0.57104,0.607507,0.653086,0.7278800000000001
1300,0.488817,0.5373494999999999,0.552125,0.5747035,0.615264,0.6688495,0.7598575000000001
1350,0.481009,0.5264105,0.5431055,0.5679784999999999,0.611774,0.6752875,0.7838845000000001
1400,0.4648485,0.5111875,0.5271515,0.555362,0.60301,0.676542,0.8059624999999999
1450,0.4692905,0.5145485000000001,0.532231,0.5629935,0.616217,0.7019580000000001,0.8556904999999999
1500,0.474353,0.522465,0.540783,0.576342,0.6332525,0.733232,0.9134145
