Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.059789,0.063592,0.062712,0.061565499999999995,0.062493499999999993,0.0659775,0.07074949999999999
450,0.060317499999999996,0.059053999999999995,0.0568795,0.056202,0.056842000000000004,0.0587555,0.063365
500,0.094846,0.092726,0.09006549999999999,0.0886685,0.0890355,0.0914445,0.097919
550,0.172991,0.1723065,0.16922199999999998,0.1671445,0.16673349999999998,0.1687825,0.17546499999999998
600,0.115739,0.11409150000000001,0.111265,0.1094525,0.10929649999999999,0.1111135,0.11697099999999999
650,0.104116,0.102414,0.099877,0.098297,0.0980815,0.09983,0.105335
700,0.115023,0.1118445,0.10844000000000001,0.106994,0.1065905,0.108178,0.1159055
750,0.1255375,0.1231755,0.119976,0.11871799999999999,0.118346,0.12003849999999999,0.1281225
800,0.1397275,0.1378685,0.13538,0.13424950000000002,0.1342545,0.135982,0.144552
850,0.1621535,0.1618255,0.160023,0.15942499999999998,0.1598995,0.1620715,0.171272
900,0.16421400000000003,0.164496,0.163442,0.16341650000000002,0.1643445,0.16640349999999998,0.1758345
950,0.1633155,0.164435,0.1638765,0.1640535,0.16510950000000002,0.16751749999999999,0.1771965
1000,0.162292,0.163048,0.162281,0.1643705,0.16582550000000001,0.1686665,0.17844
1050,0.161727,0.162891,0.16354249999999998,0.1657635,0.1681455,0.1713845,0.1812705
1100,0.160202,0.16213699999999998,0.1646065,0.1671085,0.1698265,0.17313800000000001,0.1837395
1150,0.160839,0.1639245,0.16640300000000002,0.169262,0.172952,0.176771,0.1871245
1200,0.16132449999999998,0.16602899999999998,0.1686985,0.1724975,0.1757865,0.18063600000000002,0.1913845
1250,0.16361599999999998,0.16845349999999998,0.17219600000000002,0.176408,0.180532,0.1855035,0.1967045
1300,0.16524250000000001,0.1703465,0.1752895,0.180178,0.18491200000000002,0.19055899999999998,0.2021995
1350,0.1668125,0.17312100000000002,0.17848750000000002,0.184324,0.1899535,0.19567,0.208018
1400,0.167788,0.17495,0.180965,0.18711899999999998,0.19335950000000002,0.19998,0.21339950000000002
1450,0.1691435,0.17657299999999998,0.183723,0.190738,0.1978105,0.2054875,0.21982649999999998
1500,0.17237249999999998,0.181207,0.1889595,0.19663999999999998,0.2050075,0.214086,0.229997
