Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.075511,0.0866075,0.0947845,0.1082465,0.1224585,0.1386955,0.155026
450,0.065369,0.07096050000000001,0.0778565,0.0879605,0.1013535,0.116547,0.1317755
500,0.242366,0.2543335,0.26336499999999996,0.27363550000000003,0.2863435,0.30126050000000004,0.31767999999999996
550,0.50178,0.5292760000000001,0.544885,0.559453,0.5746225,0.5905670000000001,0.6073934999999999
600,0.33143199999999995,0.3481,0.35921349999999996,0.3704805,0.3832595,0.397489,0.41306149999999997
650,0.268031,0.281315,0.2909975,0.3014625,0.313808,0.3277725,0.342745
700,0.32813749999999997,0.34507774999999996,0.3584165,0.37079150000000005,0.38369549999999997,0.3988705,0.4138925
750,0.3554445,0.3749898988373622,0.389827,0.4033285,0.41688250000000004,0.4314795,0.4469195
800,0.41152,0.4351070079147333,0.453217,0.4670545,0.4817385,0.4978745,0.5139335
850,0.531137,0.5620944330525145,0.5840434999999999,0.601935,0.6181865,0.6358159999999999,0.6525795000000001
900,0.5567139999999999,0.5897382695573745,0.613461,0.632028,0.6485639999999999,0.6669134999999999,0.6840595
950,0.563593,0.5975768308062238,0.6224175000000001,0.6409895,0.6582705,0.6764939999999999,0.694403
1000,0.568457,0.5978413371066145,0.6245355,0.643736,0.662202,0.6814720000000001,0.69997
1050,0.569563,0.6008690070099802,0.628104,0.6481794999999999,0.6671905,0.686801,0.7056404999999999
1100,0.5678565,0.599902241362242,0.626586,0.647888,0.667154,0.687063,0.70645
1150,0.5650645000000001,0.5983049551608048,0.6255014999999999,0.6469155,0.6670320000000001,0.6876575,0.7076525
1200,0.566249,0.5992131585280136,0.627212,0.648922,0.668948,0.690886,0.7112590000000001
1250,0.5783355,0.6112882127541547,0.6399625,0.6623395,0.6832389999999999,0.70502,0.7267475
1300,0.5798840000000001,0.6141694769561971,0.643637,0.6662505000000001,0.6877405,0.710752,0.733754
1350,0.5745175,0.6088651983972541,0.6390979999999999,0.6624304999999999,0.685164,0.709248,0.734389
1400,0.5622480000000001,0.5954261310537845,0.6247294999999999,0.648215,0.671671,0.697919,0.7261245000000001
1450,0.564156,0.597473858796293,0.6269089999999999,0.6519235000000001,0.6767380000000001,0.7056325,0.7381715
1500,0.5761105,0.6100300997607832,0.640598,0.6662135,0.6933294999999999,0.7246855,0.7632935000000001
