Wavelength,Reflectance_01,Reflectance_02,Reflectance_03,Reflectance_04,Reflectance_05,Reflectance_06,Reflectance_07,Reflectance_08,Reflectance_09,Reflectance_10,Reflectance_11,Reflectance_12,Reflectance_13,Reflectance_14,Reflectance_15,Reflectance_16,Reflectance_17,Reflectance_18,Reflectance_19,Reflectance_20,Reflectance_21,Reflectance_22,Reflectance_23,Reflectance_24
464,0.068039,0.246213,0.356167,0.063127,0.420512,0.455698,0.068428,0.398193,0.135952,0.142847,0.112397,0.086429,0.340154,0.094585,0.058862,0.096805,0.286202,0.445909,0.917193,0.624063,0.399282,0.212805,0.104771,0.032307
468,0.06883,0.25244,0.352677,0.066774,0.410711,0.472135,0.072019,0.385198,0.133696,0.134559,0.117999,0.087793,0.329904,0.098554,0.059995,0.102927,0.275005,0.462053,0.918545,0.623934,0.397841,0.211956,0.104019,0.032445
472,0.070649,0.260089,0.348053,0.071709,0.400416,0.488191,0.075592,0.368144,0.131573,0.125335,0.125236,0.090194,0.316873,0.103034,0.062078,0.110515,0.262842,0.474855,0.919867,0.62326,0.396572,0.211044,0.104232,0.032313
476,0.07117,0.269777,0.343109,0.075835,0.38821,0.501584,0.079647,0.347264,0.129508,0.116007,0.135285,0.092727,0.299678,0.110025,0.063701,0.1186,0.249522,0.483333,0.921926,0.622915,0.396079,0.210307,0.103489,0.032067
480,0.072727,0.280998,0.335915,0.080902,0.376413,0.515063,0.083381,0.324752,0.127478,0.10807,0.14773,0.095066,0.280007,0.118767,0.063669,0.125757,0.235794,0.490019,0.92308,0.622881,0.39468,0.209554,0.103333,0.032266
484,0.072742,0.294361,0.327209,0.083841,0.365753,0.526068,0.086614,0.298373,0.125189,0.10167,0.163988,0.098022,0.25758,0.130288,0.064804,0.133508,0.22129,0.491896,0.923562,0.622526,0.393767,0.20882,0.102811,0.032197
488,0.073129,0.309002,0.3168,0.085565,0.358061,0.537516,0.087651,0.272841,0.123795,0.097243,0.185498,0.101943,0.234756,0.145701,0.064312,0.14432,0.208242,0.490335,0.925519,0.623006,0.393463,0.208941,0.10247,0.032037
492,0.073504,0.323776,0.306123,0.087009,0.352538,0.545819,0.088716,0.248411,0.122077,0.094073,0.211621,0.108211,0.211972,0.165364,0.06312,0.161792,0.197198,0.484808,0.926255,0.622415,0.393612,0.208679,0.102596,0.031937
496,0.073662,0.339732,0.295856,0.087792,0.345686,0.554466,0.089839,0.226198,0.119695,0.090875,0.245292,0.118417,0.189998,0.189756,0.062677,0.19222,0.187791,0.474965,0.927811,0.622826,0.394187,0.208829,0.102447,0.031829
500,0.073925,0.352611,0.285722,0.089279,0.337385,0.561902,0.091114,0.206867,0.118325,0.08675,0.284206,0.130745,0.169635,0.218849,0.061667,0.238116,0.179968,0.463253,0.928335,0.623255,0.393415,0.208649,0.102167,0.031824
504,0.074283,0.363236,0.275758,0.091554,0.326234,0.56779,0.093742,0.190017,0.116075,0.081124,0.329894,0.143803,0.150143,0.251275,0.060999,0.297337,0.173082,0.448836,0.929415,0.623703,0.394683,0.208926,0.101937,0.031863
508,0.074752,0.368519,0.267156,0.096253,0.311508,0.573499,0.09667,0.174617,0.114049,0.075489,0.379538,0.155999,0.132317,0.285383,0.060106,0.35653,0.165868,0.431631,0.929715,0.623628,0.394456,0.209124,0.102098,0.031902
512,0.075951,0.365395,0.257291,0.103581,0.294666,0.577798,0.102173,0.161327,0.11168,0.070555,0.428109,0.170347,0.115787,0.318537,0.060014,0.407944,0.156846,0.412388,0.930098,0.625235,0.395001,0.209625,0.102169,0.031715
516,0.077109,0.354231,0.245877,0.114216,0.278343,0.579558,0.111033,0.148766,0.109283,0.066763,0.473839,0.191499,0.10042,0.348262,0.060049,0.455263,0.145311,0.391211,0.930947,0.624923,0.396162,0.209815,0.102428,0.031629
520,0.078376,0.337985,0.234785,0.129789,0.264426,0.580438,0.12384,0.137651,0.106995,0.064498,0.513107,0.221908,0.087458,0.372657,0.060152,0.50191,0.133992,0.368932,0.930612,0.625644,0.395933,0.209925,0.102313,0.031642
524,0.079673,0.319026,0.225356,0.146988,0.2554,0.579096,0.138152,0.12807,0.105413,0.063385,0.544475,0.263634,0.077181,0.389445,0.06003,0.549682,0.123333,0.346614,0.931238,0.625403,0.39685,0.210493,0.102657,0.031328
528,0.080613,0.301364,0.218119,0.163468,0.250912,0.574798,0.152417,0.12119,0.104682,0.063254,0.566455,0.310493,0.069391,0.397157,0.060433,0.592783,0.11428,0.323679,0.931822,0.62577,0.396416,0.210069,0.102417,0.031627
532,0.081507,0.288532,0.213668,0.173958,0.249869,0.568493,0.163249,0.115217,0.104262,0.063713,0.581868,0.356935,0.064131,0.396515,0.060455,0.628832,0.108558,0.301293,0.932092,0.626077,0.397122,0.210561,0.102678,0.031544
536,0.082044,0.281107,0.209752,0.178698,0.249949,0.559097,0.171958,0.111072,0.104316,0.063819,0.589189,0.391568,0.060448,0.388961,0.059528,0.654061,0.10573,0.279667,0.932101,0.6261,0.396718,0.210394,0.102331,0.031487
540,0.082355,0.279956,0.206669,0.17844,0.247401,0.54704,0.179208,0.107302,0.104743,0.063519,0.593105,0.414952,0.057949,0.377306,0.059268,0.671556,0.10552,0.258874,0.932233,0.62538,0.396844,0.210269,0.102432,0.031496
544,0.083378,0.284397,0.203867,0.17585,0.241957,0.532268,0.187247,0.103692,0.104396,0.062317,0.591575,0.429315,0.056207,0.361873,0.058806,0.683052,0.107525,0.238822,0.932045,0.625105,0.396682,0.210357,0.101959,0.031518
548,0.084688,0.290362,0.201216,0.17135,0.233382,0.514747,0.198055,0.101075,0.104103,0.061039,0.587634,0.439829,0.054662,0.344617,0.057772,0.692652,0.110471,0.21974,0.932366,0.625226,0.396743,0.210344,0.101948,0.031479
552,0.086483,0.292968,0.196377,0.165864,0.221886,0.495304,0.213014,0.098553,0.103639,0.059863,0.580796,0.448556,0.05327,0.326711,0.057562,0.700162,0.112091,0.200829,0.931635,0.624335,0.396419,0.210249,0.101989,0.031544
556,0.089515,0.29106,0.190331,0.160125,0.208918,0.47408,0.234536,0.095576,0.104274,0.05933,0.572578,0.458503,0.052379,0.308636,0.05723,0.70752,0.111537,0.183427,0.932279,0.6242,0.395719,0.210303,0.101474,0.031439
560,0.093394,0.286156,0.183511,0.154133,0.195662,0.451824,0.262843,0.093082,0.103827,0.059007,0.561963,0.47045,0.051526,0.289945,0.057845,0.714362,0.109661,0.167791,0.932039,0.623704,0.395897,0.210424,0.101551,0.031363
564,0.098588,0.284073,0.17725,0.148024,0.183286,0.42971,0.299082,0.090602,0.104491,0.059057,0.550789,0.485195,0.051013,0.272289,0.059324,0.722285,0.108827,0.155064,0.931844,0.623372,0.395968,0.210862,0.101606,0.031394
568,0.105064,0.287299,0.172207,0.14294,0.173297,0.408277,0.340874,0.08924,0.106972,0.05946,0.538153,0.503275,0.050894,0.25481,0.061497,0.729278,0.111236,0.144323,0.93179,0.623447,0.396206,0.211724,0.101749,0.031424
572,0.112003,0.29998,0.168923,0.138284,0.165681,0.387196,0.386158,0.08811,0.114197,0.059807,0.523826,0.523123,0.05084,0.237378,0.065621,0.736645,0.117807,0.135585,0.931665,0.622728,0.396368,0.212357,0.101827,0.031346
576,0.120238,0.323001,0.166923,0.134281,0.162532,0.36629,0.430899,0.087269,0.129551,0.060509,0.509009,0.545136,0.050707,0.220218,0.071319,0.742615,0.130351,0.128356,0.931703,0.622252,0.396237,0.212557,0.102056,0.031448
580,0.128221,0.353927,0.165841,0.130356,0.162699,0.345587,0.473385,0.086975,0.15674,0.061357,0.491684,0.567195,0.050634,0.20291,0.080007,0.748518,0.150706,0.122716,0.931235,0.622319,0.395819,0.21307,0.101774,0.031365
584,0.135977,0.391644,0.165725,0.126771,0.166958,0.325394,0.512182,0.086916,0.198999,0.062742,0.472763,0.589341,0.050721,0.185806,0.093228,0.753695,0.179645,0.117993,0.931459,0.621643,0.396011,0.213093,0.101835,0.031277
588,0.14317,0.430369,0.166568,0.122581,0.173508,0.305209,0.545122,0.087587,0.252237,0.064397,0.452448,0.609145,0.050817,0.169299,0.11343,0.758576,0.216969,0.114049,0.931141,0.621286,0.395403,0.212723,0.101669,0.031239
592,0.148486,0.465031,0.166919,0.118509,0.181156,0.285348,0.571244,0.087197,0.312657,0.066659,0.431048,0.625761,0.0507,0.154189,0.141826,0.762866,0.261307,0.110714,0.931181,0.620451,0.394795,0.212561,0.101268,0.031252
596,0.152662,0.495215,0.166557,0.11445,0.19095,0.26696,0.590525,0.087417,0.373299,0.069964,0.410085,0.638633,0.050608,0.141044,0.179857,0.765767,0.310164,0.107404,0.933055,0.619486,0.393643,0.211919,0.101006,0.03126
600,0.155542,0.518495,0.165253,0.110272,0.205124,0.250732,0.604696,0.087654,0.429414,0.075881,0.390368,0.649963,0.050645,0.130355,0.227703,0.768877,0.361939,0.104473,0.930783,0.618694,0.392625,0.211404,0.100595,0.031254
